Will i want?;Хочу ли я?
Do we cut?;Мы режем?
We don't cut.;Мы не режем.
We cut.;Режем.
Did we cut?;Мы вырезали?
We didn't cut.;Мы не резали.
We cut.;Режем.
Will they cut?;Будут ли они резать?
They will not cut.;Они не будут резать.
They will cut.;Они будут резать.
Do they cut?;Они режут?
They don't cut.;Они не режут.
They cut.;Они режут.
Did they cut?;Они вырезали?
They didn't cut.;Они не режут.
They cut.;Они режут.
Will he cut?;Будет ли он резать?
He will not cut.;Он не будет резать.
He will cut.;Он будет резать.
Does he cut?;Он рубит?
He doesn't cut.;Он не режет.
He cutes.;Он приятный
Did he cut?;Он порезал?
He didn't cut.;Он не порезал.
He cut.;Он порезал.
Will she cut?;Она порежет?
She will not cut.;Она не будет резать.
She will cut.;Она будет резать.
Does she cut?;Она режет?
She doesn't cut.;Она не режет.
She cutes.;Она милашка
Did she cut?;Она порезала?
She didn't cut.;Она не порезала.
She cut.;Она порезала.
Will i sell?;Я продам?
I will not sell.;Я не буду продавать.
I will sell.;Я продам
Do i sell?;Я продаю?
I don't sell.;Я не продаю
I sell.;Я продаю.
Did i sell?;Я продал?
I didn't sell.;Я не продал.
I sold.;Старый.
Will you sell?;Будешь продавать?
You will not sell.;Вы не будете продавать.
You will sell.;Вы будете продавать.
Do you sell?;Вы продаете?
You don't sell.;Вы не продаете.
You sell.;Вы продаете.
Did you sell?;Вы продали?
You didn't sell.;Вы не продали.
You sold.;Ты продал.
Will we sell?;Будем ли мы продавать?
We will not sell.;Мы не будем продавать.
We will sell.;Мы будем продавать.
Do we sell?;Мы продаем?
We don't sell.;Мы не продаем.
We sell.;Мы продаем.
Did we sell?;Мы продали?
We didn't sell.;Мы не продавали.
We sold.;Мы продали.
Will they sell?;Будут ли они продавать?
They will not sell.;Они не будут продавать.
They will sell.;Они будут продавать.
Do they sell?;Они продают?
They don't sell.;Они не продают.
They sell.;Они продают.
Did they sell?;Они продали?
They didn't sell.;Они не продавали.
They sold.;Они продали.
Will he sell?;Он продаст?
He will not sell.;Он не будет продавать.
He will sell.;Он продаст.
Does he sell?;Он продает?
He doesn't sell.;Он не продает.
He selles.;Он продает.
Did he sell?;Он продал?
He didn't sell.;Он не продал.
He sold.;Он продал.
Will she sell?;Она продаст?
She will not sell.;Она не будет продавать.
She will sell.;Она продаст.
Does she sell?;Она продает?
She doesn't sell.;Она не продает.
She selles.;Она продает.
Did she sell?;Она продала?
She didn't sell.;Она не продала.
She sold.;Она продала.
Will i break?;Я сломаюсь?
I will not break.;Я не сломаюсь.
I will break.;Я сломаюсь.
Do i break?;Я сломаюсь?
I don't break.;Я не ломаюсь.
I break.;Я ломаю
Did i break?;Я сломался?
I didn't break.;Я не сломался.
I broke.;Я сломал.
Will you break?;Ты сломаешься?
You will not break.;Ты не сломаешься.
You will break.;Ты сломаешься.
Do you break?;Ты ломаешься?
You don't break.;Ты не сломаешься.
You break.;Вы ломаете.
Did you break?;Ты сломал?
You didn't break.;Вы не сломались.
You broke.;Вы сломались.
Will we break?;Мы сломаемся?
We will not break.;Мы не сломаемся.
We will break.;Мы сломаемся.
Do we break?;Мы ломаемся?
We don't break.;Мы не ломаемся.
We break.;Мы нарушаем.
Did we break?;Мы сломались?
We didn't break.;Мы не сломались.
We broke.;Мы расстались.
Will they break?;Они сломаются?
They will not break.;Они не сломаются.
They will break.;Они сломаются.
Do they break?;Они ломаются?
They don't break.;Они не ломаются.
They break.;Они ломаются.
Did they break?;Они сломались?
They didn't break.;Они не сломались.
They broke.;Они сломались.
Will he break?;Он сломается?
He will not break.;Он не сломается.
He will break.;Он сломается.
Does he break?;Он ломается?
He doesn't break.;Он не ломается.
He breakes.;Он ломается.
Did he break?;Он сломался?
He didn't break.;Он не сломался.
He broke.;Он сломал.
Will she break?;Она сломается?
She will not break.;Она не сломается.
She will break.;Она сломается.
Does she break?;Она ломается?
She doesn't break.;Она не ломается.
She breakes.;Она ломается.
Did she break?;Она сломалась?
She didn't break.;Она не сломалась.
She broke.;Она сломала.
Will i hit?;Я ударю?
I will not hit.;Я не буду бить.
I will hit.;Я ударю
Do i hit?;Я ударил?
I don't hit.;Я не бью.
I hit.;Я ударил.
Did i hit?;Я ударил?
I didn't hit.;Я не ударил.
I hit.;Я ударил.
Will you hit?;Будешь бить?
You will not hit.;Вы не будете поражены.
You will hit.;Вы ударите.
Do you hit?;Ты ударил?
You don't hit.;Вы не попали.
You hit.;Ты попал.
Did you hit?;Ты ударил?
You didn't hit.;Ты не ударил.
You hit.;Ты попал.
Will we hit?;Будем ли мы бить?
We will not hit.;Мы не будем бить.
